,ADM0_A3,net_export,population,final_demand,CONTINENT,CONTINENT_code,demand_capita,net_export_capita,colors
0,CHN,-208392.6493765642,1444650062.0503728,10863777758.054499,Asia,1,7.520006431616859,-0.00014425129991743138,#beaed4
1,IND,-128664.72532707703,1409461099.7670755,2166777604.790248,Asia,1,1.537309263198768,-9.128646781975031e-05,#beaed4
2,BGD,-35492.323210388204,164398299.65853384,229132394.06598607,Asia,1,1.3937637709265194,-0.00021589227676994293,#beaed4
3,VNM,-21642.5642172261,98951432.16782682,199528072.17520434,Asia,1,2.0164242983041847,-0.00021871905987696241,#beaed4
4,ROU,-15873.83001800286,33144182.123947073,181800507.59245634,Europe,2,5.4851408585853525,-0.0004789326210748108,#fdc086
5,RUS,-12809.942521027835,143377575.41945323,1174920909.704399,Europe,2,8.194593235847032,-8.934411454198578e-05,#fdc086
6,UKR,-12617.059920257954,41531320.2186674,100073901.02047127,Europe,2,2.4096007662065673,-0.00030379626397204843,#fdc086
7,PRK,-10139.694724694866,23227901.768628843,16924886.004382893,Asia,1,0.728644634929588,-0.0004365308078919699,#beaed4
8,IDN,-10116.316469397658,284365639.91343296,926889215.7553432,Asia,1,3.2594979338485066,-3.5575031049733305e-05,#beaed4
9,BRA,-9699.342184879642,217276419.4014073,1773942574.5804377,South America,6,8.164450516386538,-4.4640565283619636e-05,#bf5b17
10,THA,-6179.265600182727,74912319.77530849,361847584.57479465,Asia,1,4.830281396439435,-8.248664063156468e-05,#beaed4
11,ETH,-6167.54444068062,104382901.15299813,19843291.650941845,Africa,0,0.19010097852958455,-5.908577336474493e-05,#7fc97f
12,BGR,-5824.84755446925,7748474.110322319,47548503.85155226,Europe,2,6.136499028655121,-0.0007517412424092038,#fdc086
13,NPL,-5320.939544778177,41821525.9260931,27066282.499819197,Asia,1,0.6471854362189142,-0.00012722968440179175,#beaed4
14,MEX,-5312.060884052029,140388741.60143444,1090579132.5938373,North America,3,7.7682805626252165,-3.783822565439786e-05,#a6cee3
15,COD,-4848.442152559366,113508357.1621959,39436224.10304995,Africa,0,0.3474301372074146,-4.2714406883990616e-05,#7fc97f
16,SYR,-3855.3700095146655,26663566.04902693,14367350.769748596,Asia,1,0.5388383062989778,-0.00014459318766385957,#beaed4
17,HTI,-3674.760281142999,14578222.461582463,9296729.489656445,North America,3,0.637713515084286,-0.0002520719031985539,#a6cee3
18,HUN,-3616.573577036715,9426952.174994983,114474322.52120681,Europe,2,12.143301503623862,-0.0003836418717207123,#fdc086
19,AZE,-2581.0707835413837,10021619.052216498,35283748.37661104,Asia,1,3.520763281139416,-0.000257550279060999,#beaed4
20,KHM,-2566.796783004634,19746552.595341418,20635439.32486054,Asia,1,1.0450147804396412,-0.00012998708359909819,#beaed4
21,AGO,-2439.8954558158384,36767764.83914875,97883607.87342432,Africa,0,2.6622126284163463,-6.635963503601235e-05,#7fc97f
22,COL,-2349.2208340827856,63121337.87326199,301922799.7249521,South America,6,4.783212933971187,-3.721753868398136e-05,#bf5b17
23,UGA,-1947.6564071122834,42487793.89071937,27027814.176716592,Africa,0,0.636131267399607,-4.584037505269745e-05,#7fc97f
24,PER,-1893.201097497038,35854479.41802674,181299963.76502082,South America,6,5.0565498846391765,-5.2802359097847724e-05,#bf5b17
25,GEO,-1736.4548865596457,3821296.326393792,17314759.006313782,Asia,1,4.5311217784185684,-0.0004544151351377561,#beaed4
26,GRC,-1553.2137246208213,10817606.547032954,192966386.60003084,Europe,2,17.838177582171124,-0.00014358201306987226,#fdc086
27,MDA,-1329.7098083684045,3532321.7118655248,178768.25772064071,Europe,2,0.050609279760712354,-0.00037644074261462015,#fdc086
28,MAR,-1276.6777007817764,36210032.473286316,109314194.00726023,Africa,0,3.018892459925463,-3.5257568512915196e-05,#7fc97f
29,EGY,-1163.0341356466597,96238644.37488292,291785055.77099884,Africa,0,3.031890751020918,-1.2084897321664653e-05,#7fc97f
30,PSE,-1133.5071135998885,6303693.315526505,20300552.276194572,Asia,1,3.2204219431476266,-0.0001798163484267182,#beaed4
31,SLV,-1083.8364519810657,6706171.926164583,27493879.910203323,North America,3,4.099787511103629,-0.00016161775509399102,#a6cee3
32,GTM,-850.0658600371689,18177871.572523966,73117665.97112821,North America,3,4.022344732682911,-4.6763773010810126e-05,#a6cee3
33,ECU,-839.4420592178612,17735114.742019504,96688811.01205623,South America,6,5.451828895303005,-4.7332203452227206e-05,#bf5b17
34,CMR,-826.3862035034281,28523807.77659907,30938063.11343513,Africa,0,1.0846400086462762,-2.8971805236375043e-05,#7fc97f
