,ADM0_A3,NAME,net_export,export_of_death,import_of_death,population,final_demand,CONTINENT,CONTINENT_code,net_export_capita,final_demand_capita
0,AFG,Afghanistan,437.29455041660003,4749.188635768651,4311.894085352051,30567799.756560218,24470517834.266975,Asia,1,1.4305725433272356e-05,800.5325221032733
1,ALB,Albania,-94.85495664425957,901.1121780162282,995.9671346604878,2895459.505805033,13468067027.287191,Europe,2,-3.2759897506453565e-05,4651.443751945212
2,DZA,Algeria,3023.9015870862363,6019.886215578414,2995.9846284921773,44142465.75369571,183376840567.49292,Africa,0,6.850323232868041e-05,4154.204742224672
3,AND,Andorra,42.55263989070746,50.12852181007335,7.575881919365888,108426.25682103666,2857465806.3237715,Europe,2,0.00039245696695905375,26354.002158722233
4,AGO,Angola,-2665.487483964722,2114.379990512739,4779.867474477461,36767764.83914875,97883607873.42432,Africa,0,-7.249522769811191e-05,2662.212628416346
5,ATG,Antigua and Barb.,39.82212725228953,39.82212725228953,0.0,98895.92659612204,1211017603.080885,North America,3,0.00040266701190755675,12245.373947771597
6,ARG,Argentina,2258.6712337414665,5655.423549980973,3396.7523162395064,45296274.32179148,567804215737.0619,South America,6,4.9864393210256756e-05,12535.340361622155
7,ARM,Armenia,-792.4294778408158,652.6504040094959,1445.0798818503117,2796981.6488053086,11651546117.862736,Asia,1,-0.0002833159374425252,4165.757084190927
8,ABW,Aruba,49.4337060746538,51.18628795995401,1.7525818853002082,31020.02122089816,2455684866.1012087,North America,3,0.0015936064557348,79164.51277108786
9,AUS,Australia,9077.552719108058,10827.618007550467,1750.0652884424098,21481692.969437174,1279866792196.296,Oceania,4,0.00042257156975584,59579.419276553825
10,AUT,Austria,3297.0615887753866,5364.598559594379,2067.536970818993,8910214.015179103,374564562614.2667,Europe,2,0.0003700316943183,42037.661719030846
11,AZE,Azerbaijan,-2704.1914727166886,1675.7303862456492,4379.921858962338,10021619.052216498,35283748376.61104,Asia,1,-0.0002698357878728785,3520.7632811394155
12,BHS,Bahamas,242.81417271486123,274.42328314195845,31.60911042709722,443856.022595522,11289847300.756908,North America,3,0.0005470561631561625,25435.832175347416
13,BHR,Bahrain,806.1603062659788,1203.4954006294427,397.3350943634639,2293788.406522696,28990508691.642387,Asia,1,0.0003514536493311909,12638.70224873575
14,BGD,Bangladesh,-35955.472116033205,13290.804707541354,49246.27682357456,164398299.65853384,229132394065.98605,Asia,1,-0.0002187095133630646,1393.7637709265193
15,BRB,Barbados,60.60257759846528,77.24003728597255,16.637459687507267,290771.6378455447,4451060078.709072,North America,3,0.00020841983780638476,15307.751855335475
16,BLR,Belarus,6.453774983420772,3237.032795186463,3230.579020203042,9200523.059897505,25347026495.710514,Europe,2,7.014573999114206e-07,2754.9549444847416
17,BEL,Belgium,5162.933906308028,8585.550748313417,3422.616842005389,11762124.423242152,463422929039.09906,Europe,2,0.0004389456972675774,39399.59418584008
18,BLZ,Belize,52.80532242154276,60.22470384525134,7.419381423708581,441489.9750487011,1811057435.5331745,North America,3,0.00011960707016216566,4102.1484923488815
19,BEN,Benin,-515.7264852649511,537.9646048554704,1053.6910901204214,13087119.626750173,9289752767.616447,Africa,0,-3.940718049300949e-05,709.8393712722027
20,BMU,Bermuda,97.86978750289353,101.71384604173058,3.8440585388370523,66846.18533539142,5101454458.561828,North America,3,0.0014641043017166277,76316.31383250952
21,BTN,Bhutan,146.62272251200943,454.69350904756016,308.0707865355507,1127814.3458092513,2517614226.880154,Asia,1,0.0001300060803950865,2232.294912930609
22,BOL,Bolivia,-183.78793924821457,842.7476940682834,1026.535633316498,11958459.874454644,36567155263.50133,South America,6,-1.5368863647802812e-05,3057.8482218780655
23,BIH,Bosnia and Herz.,2322.659415829062,3787.435150766994,1464.7757349379322,3280253.3940957338,18481536090.433006,Europe,2,0.0007080731689843578,5634.179397146178
24,BWA,Botswana,130.05453644174787,494.07182810038256,364.0172916586347,2328869.6852201307,14643660011.480177,Africa,0,5.584448853756057e-05,6287.882960740253
25,BRA,Brazil,-10029.614135133641,9476.478358715496,19506.092493849137,217276419.4014073,1773942574580.4377,South America,6,-4.6160619559016346e-05,8164.450516386538
26,VGB,British Virgin Is.,17.48091209960843,17.48091209960843,0.0,90296.63786959347,650009971.2797413,North America,3,0.0001935942745161164,7198.606577339973
