,ADM0_A3,NAME,net_export,population,final_demand,CONTINENT,CONTINENT_code,net_export_capita,Colony,Colony_code
0,AFG,Afghanistan,437.29455041660003,30567799.756560218,24470517834.266975,Asia,1,1.4305725433272356e-05,Z_Other,11
1,ALB,Albania,-94.85495664425957,2895459.505805033,13468067027.287191,Europe,2,-3.2759897506453565e-05,Z_Other,11
2,DZA,Algeria,3023.9015870862363,44142465.75369571,183376840567.49292,Africa,0,6.850323232868041e-05,FRA_colony,3
3,AND,Andorra,42.55263989070746,108426.25682103666,2857465806.3237715,Europe,2,0.00039245696695905375,Z_Other,11
4,AGO,Angola,-2665.487483964722,36767764.83914875,97883607873.42432,Africa,0,-7.249522769811191e-05,PRT_colony,8
5,ATG,Antigua and Barb.,39.82212725228953,98895.92659612204,1211017603.080885,North America,3,0.00040266701190755675,GBR_colony,4
6,ARG,Argentina,2258.6712337414665,45296274.32179148,567804215737.0619,South America,6,4.9864393210256756e-05,Z_Other,11
7,ARM,Armenia,-792.4294778408158,2796981.6488053086,11651546117.862736,Asia,1,-0.0002833159374425252,RUS_colony,9
8,ABW,Aruba,49.4337060746538,31020.02122089816,2455684866.1012087,North America,3,0.0015936064557348,Z_Other,11
9,AUS,Australia,9077.552719108058,21481692.969437174,1279866792196.296,Oceania,4,0.00042257156975584,Z_Other,11
10,AUT,Austria,3297.0615887753866,8910214.015179103,374564562614.2667,Europe,2,0.0003700316943183,Z_Other,11
11,AZE,Azerbaijan,-2704.1914727166886,10021619.052216498,35283748376.61104,Asia,1,-0.0002698357878728785,RUS_colony,9
12,BHS,Bahamas,242.81417271486123,443856.022595522,11289847300.756908,North America,3,0.0005470561631561625,GBR_colony,4
13,BHR,Bahrain,806.1603062659788,2293788.406522696,28990508691.642387,Asia,1,0.0003514536493311909,GBR_colony,4
14,BGD,Bangladesh,-35955.472116033205,164398299.65853384,229132394065.98605,Asia,1,-0.0002187095133630646,GBR_colony,4
15,BRB,Barbados,60.60257759846528,290771.6378455447,4451060078.709072,North America,3,0.00020841983780638476,GBR_colony,4
16,BLR,Belarus,6.453774983420772,9200523.059897505,25347026495.710514,Europe,2,7.014573999114206e-07,Z_Other,11
17,BEL,Belgium,5162.933906308028,11762124.423242152,463422929039.09906,Europe,2,0.0004389456972675774,A_Colonizer,0
18,BLZ,Belize,52.80532242154276,441489.9750487011,1811057435.5331745,North America,3,0.00011960707016216566,GBR_colony,4
19,BEN,Benin,-515.7264852649511,13087119.626750173,9289752767.616447,Africa,0,-3.940718049300949e-05,FRA_colony,3
20,BMU,Bermuda,97.86978750289353,66846.18533539142,5101454458.561828,North America,3,0.0014641043017166277,Z_Other,11
21,BTN,Bhutan,146.62272251200943,1127814.3458092513,2517614226.880154,Asia,1,0.0001300060803950865,Z_Other,11
